image_reference,class_id,class_name,confidence,x1,y1,x2,y2,width,height,severity_score,severity_band,relative_area,tile_id
C:/Users/yummy/Downloads/PCB-Defect-Detector/data/inspection_outputs/streamlit_uploads/tmpa4jmqsga.jpg,2,open_circuit,0.8236,255.45,115.77,314.24,175.67,58.79,59.9,0.9226,high,0.008597,tile_r00_c00
C:/Users/yummy/Downloads/PCB-Defect-Detector/data/inspection_outputs/streamlit_uploads/tmpa4jmqsga.jpg,2,open_circuit,0.786,487.01,100.19,537.13,155.84,50.12,55.65,0.8615,high,0.00681,tile_r00_c00
